Subbasin,Year,Months,Area,BMP_0,BMP_1,BMP_2,BMP_3,BMP_4,BMP_5,BMP_6,BMP_7,BMP_8,BMP_9,BMP_10,BMP_11,BMP_12,BMP_13,BMP_14,BMP_15,BMP_16,BMP_17,BMP_18,BMP_19,BMP_20,BMP_21,BMP_22,BMP_23,BMP_24,BMP_25,BMP_26,BMP_27,BMP_28,BMP_29,BMP_30,BMP_31,BMP_32,BMP_33,BMP_34,BMP_35,BMP_36,BMP_37,BMP_38,BMP_39,BMP_40,BMP_41,BMP_42,BMP_43,BMP_44,BMP_45,BMP_46,BMP_47,BMP_48,BMP_49,BMP_50,BMP_51,BMP_52,BMP_53,BMP_54,BMP_55,BMP56,BMP57,BMP58,BMP59,BMP60,BMP61
11,2003,2,5087.668444,0.006,0.006,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.003,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.006,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0,0.006,0.006,0.006,0.006,0.006,0.006
12,2003,2,6229.751007,0.014,0.014,0.008,0.008,0.011,0.007,0.007,0.009,0.006,0.006,0.006,0.004,0.004,0.004,0.003,0.003,0.004,0.002,0.002,0.014,0.008,0.008,0.011,0.007,0.007,0.009,0.006,0.006,0.006,0.004,0.004,0.004,0.003,0.003,0.004,0.002,0.002,0.014,0.008,0.008,0.011,0.007,0.007,0.009,0.006,0.006,0.006,0.004,0.004,0.004,0.003,0.003,0.004,0.002,0.002,0,0.014,0.014,0.014,0.014,0.014,0.014
13,2003,2,9504.033747,0.014,0.014,0.008,0.008,0.011,0.007,0.007,0.009,0.006,0.006,0.007,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.003,0.014,0.008,0.008,0.011,0.007,0.007,0.009,0.006,0.006,0.006,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.003,0.014,0.008,0.008,0.011,0.007,0.007,0.009,0.006,0.006,0.006,0.004,0.004,0.005,0.003,0.003,0.004,0.003,0.003,0,0.014,0.014,0.014,0.014,0.014,0.014
14,2003,2,6459.722758,0.004,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.004,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0.004,0.004,0.004,0.004,0.004,0.004
15,2003,2,6765.943223,0.012,0.012,0.007,0.007,0.009,0.006,0.006,0.008,0.005,0.005,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.012,0.007,0.007,0.009,0.006,0.006,0.008,0.005,0.005,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.012,0.007,0.007,0.009,0.006,0.006,0.008,0.005,0.005,0.006,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0,0.012,0.012,0.012,0.012,0.012,0.012
16,2003,2,14016.4601,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0,0,0,0.002,0.002,0.002,0.002,0.002,0.002
17,2003,2,12348.65779,0.01,0.01,0.006,0.006,0.007,0.004,0.004,0.006,0.004,0.004,0.006,0.003,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.01,0.006,0.006,0.007,0.004,0.004,0.006,0.004,0.003,0.006,0.003,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0.01,0.006,0.006,0.007,0.004,0.004,0.006,0.004,0.003,0.006,0.003,0.003,0.004,0.002,0.002,0.003,0.002,0.002,0,0.01,0.01,0.01,0.01,0.01,0.01
18,2003,2,7060.228951,0.007,0.007,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.007,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0.007,0.005,0.005,0.005,0.004,0.004,0.004,0.003,0.003,0.004,0.003,0.003,0.003,0.002,0.002,0.002,0.001,0.001,0,0.007,0.007,0.007,0.007,0.007,0.007
19,2003,2,538.7279179,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002
20,2003,2,5128.848334,0.005,0.005,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.005,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.005,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0,0.005,0.005,0.005,0.005,0.005,0.005
