Date,Nitrate_loading (kg/d),TP_loading (kg/d)
3/9/2004,1359.95018,405.69942
3/10/2004,1537.2304,466.84156
3/11/2004,1813.60507,558.39946
3/12/2004,3144.04647,967.47603
3/13/2004,2238.29173,688.38551
3/14/2004,2295.32726,653.83721
3/15/2004,2274.69829,599.23419
3/16/2004,2409.09549,585.84822
3/17/2004,2062.00368,487.92761
3/18/2004,2268.42965,521.19872
3/19/2004,3150.25227,774.84466
3/20/2004,2551.58589,672.69083
3/21/2004,2187.42567,590.25772
3/22/2004,2023.90731,559.94769
3/23/2004,1742.47343,495.22929
3/24/2004,1490.5809,460.60869
3/25/2004,1250.32092,427.60976
3/26/2004,1265.59626,341.6923
3/27/2004,1115.69781,211.58928
3/28/2004,1405.79006,310.14154
3/29/2004,1034.46988,264.44571
3/30/2004,875.43701,258.73239
3/31/2004,1313.51664,302.55533
4/1/2004,1477.83163,282.34995
4/2/2004,1635.64462,366.76894
4/3/2004,1518.05994,389.80487
4/4/2004,2046.32451,520.47116
4/5/2004,1550.50015,390.6581
4/6/2004,1733.04019,432.58833
4/7/2004,2444.50611,608.16605
4/8/2004,2113.16728,524.32963
4/9/2004,1987.07149,508.12978
4/10/2004,1918.50333,505.65204
4/11/2004,1954.26485,511.46441
4/12/2004,1885.20383,489.78335
4/13/2004,1799.01989,463.82894
4/14/2004,1851.39671,517.71784
4/15/2004,1530.15357,466.21867
4/16/2004,1852.3283,555.83389
4/17/2004,1832.04153,542.31449
4/18/2004,1925.81977,565.85507
4/19/2004,2241.30189,654.17083
4/20/2004,2556.83247,741.77872
4/21/2004,2434.63187,597.35663
4/22/2004,2498.74914,519.25226
4/23/2004,2307.38001,457.37292
4/24/2004,2874.82735,538.01729
4/25/2004,2529.19292,582.31214
4/26/2004,1878.08423,528.23731
4/27/2004,1546.50654,529.90592
4/28/2004,1801.43876,637.33661
4/29/2004,1790.83205,651.21165
4/30/2004,1911.64719,653.68826
5/1/2004,1963.20296,628.06955
5/2/2004,1738.15125,520.82901
5/3/2004,1859.2662,518.81669
5/4/2004,3078.52254,794.59163
5/5/2004,2120.77595,654.11885
5/6/2004,1473.10366,562.98813
5/7/2004,1309.08563,537.89162
5/8/2004,1800.75739,791.62008
5/9/2004,1572.50852,738.50813
5/10/2004,3374.03057,1685.90174
5/11/2004,2228.96297,1180.68831
5/12/2004,1744.34608,1007.49425
5/13/2004,1347.74829,853.16176
5/14/2004,1447.52504,710.55401
5/15/2004,1500.19008,540.0811
5/16/2004,1322.6489,520.66094
5/17/2004,1372.76107,583.17282
5/18/2004,1438.49365,652.75042
5/19/2004,1583.84772,780.914
5/20/2004,1436.20651,770.79427
5/21/2004,1337.22561,678.05494
5/22/2004,1298.91499,621.93151
5/23/2004,1325.5505,574.54335
5/24/2004,1353.61295,528.01422
5/25/2004,1419.2562,494.75006
5/26/2004,1445.78435,509.34054
5/27/2004,1316.00536,468.30821
5/28/2004,1884.90933,653.63791
5/29/2004,1603.17943,542.97088
5/30/2004,1673.76067,548.1545
5/31/2004,1740.49896,552.45939
6/1/2004,1825.58968,562.78523
6/2/2004,2120.05105,719.04393
6/3/2004,1552.65405,585.53479
6/4/2004,1456.9922,588.54173
6/5/2004,1423.34899,612.37108
6/6/2004,1954.91897,784.00396
6/7/2004,1515.40561,564.3693
6/8/2004,1502.98947,517.5617
6/9/2004,1243.28915,541.37022
6/10/2004,1117.88003,668.15818
6/11/2004,1296.66941,691.05101
6/12/2004,1222.26468,580.14891
6/13/2004,1562.31108,693.46238
6/14/2004,1232.59824,512.61631
6/15/2004,1218.21308,475.50049
6/16/2004,901.6875,470.50564
6/17/2004,576.59062,462.10014
6/18/2004,791.37115,494.60697
6/19/2004,1060.40736,553.34631
6/20/2004,1072.41513,468.7882
6/21/2004,1229.59489,463.91398
6/22/2004,1456.08067,484.5234
6/23/2004,1489.93738,501.61225
6/24/2004,1350.43745,459.58436
6/25/2004,1944.64083,688.72696
6/26/2004,1493.84392,551.17689
6/27/2004,1319.80591,525.17277
6/28/2004,1280.43764,549.32356
6/29/2004,1374.3461,635.63507
6/30/2004,1520.37018,663.49209
7/1/2004,2047.69861,852.44935
7/2/2004,1735.34096,794.00035
7/3/2004,1333.78694,672.47884
7/4/2004,1329.45568,875.18528
7/5/2004,1183.49178,988.90354
7/6/2004,1078.5693,1123.50969
7/7/2004,1122.20334,1241.50735
7/8/2004,1414.20495,1668.29378
7/9/2004,1911.45338,1873.14957
7/10/2004,1557.21986,1193.31719
7/11/2004,1078.1841,812.31113
7/12/2004,921.12834,681.20421
7/13/2004,854.1384,618.88842
7/14/2004,448.25652,607.72032
7/15/2004,7.53827,571.6518
7/16/2004,302.22199,520.37842
7/17/2004,584.16901,505.92005
7/18/2004,1741.94075,1134.52006
7/19/2004,1261.32511,685.27277
7/20/2004,1591.91632,761.40494
7/21/2004,1940.4958,935.31898
7/22/2004,1593.04437,774.14057
7/23/2004,1374.19014,735.60737
7/24/2004,1274.69533,755.2033
7/25/2004,1189.5822,713.3537
7/26/2004,1039.84864,632.4682
7/27/2004,892.42025,552.02407
7/28/2004,993.34818,657.02794
7/29/2004,785.34387,556.19559
7/30/2004,826.8038,561.19782
7/31/2004,712.86129,460.80932
8/1/2004,751.19978,581.28554
8/2/2004,1085.92481,993.56211
8/3/2004,826.7184,886.3935
8/4/2004,782.2898,741.14997
8/5/2004,806.38772,678.42799
8/6/2004,1071.22621,919.2096
8/7/2004,794.69716,696.82282
8/8/2004,675.5046,579.33568
8/9/2004,614.06709,513.2756
8/10/2004,538.61236,436.80149
8/11/2004,681.03236,494.47145
8/12/2004,754.70022,503.4883
8/13/2004,813.60968,524.44054
8/14/2004,851.63889,530.70502
8/15/2004,859.54972,485.51971
8/16/2004,832.4131,423.96327
8/17/2004,884.35733,403.58452
8/18/2004,1008.93593,515.02169
8/19/2004,1208.43915,664.09719
8/20/2004,1416.59884,647.44896
8/21/2004,1425.6066,531.38374
8/22/2004,1448.84599,548.63272
8/23/2004,1452.62989,557.97347
8/24/2004,1530.07029,595.39692
8/25/2004,1281.64898,452.01013
8/26/2004,1001.37722,294.59121
8/27/2004,1021.50652,291.06245
8/28/2004,1118.54323,309.55569
8/29/2004,1799.38404,658.72393
8/30/2004,1326.62419,591.92242
8/31/2004,3447.11548,1787.05724
9/1/2004,1747.75787,788.83478
9/2/2004,2037.18274,813.48726
9/3/2004,1793.32179,737.27219
9/4/2004,1508.83959,641.51343
9/5/2004,1305.93374,595.76701
9/6/2004,1211.22506,598.98852
9/7/2004,1090.76362,592.37616
9/8/2004,909.37378,588.41833
9/9/2004,645.10995,522.50468
9/10/2004,634.84142,514.22599
9/11/2004,640.87885,519.15384
9/12/2004,641.90863,521.84148
9/13/2004,663.9482,541.6205
9/14/2004,773.75219,633.30212
9/15/2004,876.9894,610.41553
9/16/2004,995.38302,617.68428
9/17/2004,950.74244,673.71686
9/18/2004,806.05037,657.57266
9/19/2004,739.35962,624.51694
9/20/2004,659.24725,581.15747
9/21/2004,570.84551,531.04343
9/22/2004,527.33487,464.49706
9/23/2004,476.38931,394.15544
9/24/2004,531.56514,472.36239
9/25/2004,503.26814,477.74865
9/26/2004,516.09159,477.52606
9/27/2004,522.20851,470.7604
9/28/2004,494.95901,434.52797
9/29/2004,522.41648,406.59543
9/30/2004,533.17159,365.41055
10/1/2004,566.52976,407.79453
10/2/2004,507.64835,384.49106
10/3/2004,486.59765,409.51951
10/4/2004,428.76468,400.5524
10/5/2004,391.62186,405.92768
10/6/2004,473.28224,497.71801
10/7/2004,597.90006,634.70772
10/8/2004,1037.1169,991.32412
10/9/2004,937.1437,826.71844
10/10/2004,1066.10915,761.18359
10/11/2004,1128.764,660.22844
10/12/2004,2561.14216,1236.34992
10/13/2004,1419.89522,704.13589
10/14/2004,1340.89397,691.33094
10/15/2004,970.66626,563.12172
10/16/2004,833.09277,546.61839
10/17/2004,817.9654,507.49402
10/18/2004,1506.30454,869.2295
10/19/2004,795.49521,416.23157
10/20/2004,1075.18724,460.61499
10/21/2004,1264.34738,480.00445
10/22/2004,1171.71582,520.72706
10/23/2004,1319.26111,676.67081
10/24/2004,1085.74556,569.24208
10/25/2004,1049.66715,562.99192
10/26/2004,1863.75782,1023.53913
10/27/2004,1355.99102,738.05274
10/28/2004,1198.25261,645.8288
10/29/2004,1042.71874,723.81885
10/30/2004,893.505,800.07669
10/31/2004,641.17384,628.19666
11/1/2004,1138.44328,1251.94461
11/2/2004,612.83668,786.79293
11/3/2004,640.69692,838.3116
11/4/2004,528.05902,705.63639
11/5/2004,596.25696,765.28214
11/6/2004,715.07334,894.17138
11/7/2004,793.50249,873.04173
11/8/2004,897.28299,889.17767
11/9/2004,1018.94379,925.10954
11/10/2004,864.51288,841.61986
11/11/2004,805.52465,860.32224
11/12/2004,718.01127,719.71811
11/13/2004,787.09652,743.88795
11/14/2004,804.47079,746.87502
11/15/2004,845.81201,772.73088
11/16/2004,915.55289,824.33965
11/17/2004,1006.43756,870.24532
11/18/2004,1220.72167,1018.34911
11/19/2004,1099.34711,919.33565
11/20/2004,1016.37668,852.1556
11/21/2004,939.13569,805.67417
11/22/2004,939.33178,825.39073
11/23/2004,970.56928,874.48536
11/24/2004,2041.73281,1566.32203
11/25/2004,1347.36376,619.70644
11/26/2004,1397.16202,672.18472
11/27/2004,2464.74386,1233.14652
11/28/2004,1546.05974,735.57027
11/29/2004,2106.68445,954.97642
11/30/2004,2660.32634,1151.04627
12/1/2004,1558.63575,778.76634
12/2/2004,943.28821,584.20611
12/3/2004,924.20028,687.97745
12/4/2004,848.87251,727.17575
12/5/2004,1015.6626,701.61653
12/6/2004,1443.99348,780.3282
12/7/2004,2288.65737,923.18541
12/8/2004,1587.01327,724.48205
12/9/2004,1540.44989,771.20612
12/10/2004,1394.07217,888.30816
12/11/2004,1241.8463,968.48806
12/12/2004,1167.64204,950.51721
12/13/2004,985.51658,837.51061
12/14/2004,1032.23967,915.91023
12/15/2004,877.50536,815.72898
12/16/2004,764.1505,751.62344
12/17/2004,825.61533,765.27136
12/18/2004,833.83687,733.26723
12/19/2004,856.55046,716.21169
12/20/2004,856.14315,684.0145
12/21/2004,957.98355,734.3756
12/22/2004,843.97933,697.93024
12/23/2004,732.31623,655.86884
12/24/2004,777.91679,903.29043
12/25/2004,741.6,1089.40731
12/26/2004,704.51617,1076.0785
12/27/2004,616.08034,983.79588
12/28/2004,604.37478,1015.86398
12/29/2004,770.48708,1044.4656
12/30/2004,875.78829,1014.01103
12/31/2004,810.88116,1020.22629
1/1/2005,693.25761,966.0147
1/2/2005,577.07315,811.50912
1/3/2005,463.18715,660.45679
1/4/2005,344.9571,503.58701
1/5/2005,442.35157,426.44404
1/6/2005,537.08696,355.26687
1/7/2005,581.74432,464.36626
1/8/2005,650.06004,598.63699
1/9/2005,646.79918,575.4514
1/10/2005,682.22421,587.6699
1/11/2005,714.45338,597.02592
1/12/2005,558.45198,414.72341
1/13/2005,401.01021,226.88736
1/14/2005,464.66006,306.41953
1/15/2005,523.87253,382.09759
1/16/2005,570.43233,412.78015
1/17/2005,638.90215,459.39868
1/18/2005,685.25309,490.16324
1/19/2005,692.20807,491.5233
1/20/2005,691.25889,487.22004
1/21/2005,762.05074,498.45744
1/22/2005,813.10517,492.91583
1/23/2005,819.87303,586.71378
1/24/2005,811.60972,664.87802
1/25/2005,817.66059,750.15902
1/26/2005,1040.42786,788.87496
1/27/2005,1291.12299,846.97668
1/28/2005,1140.48498,872.11292
1/29/2005,1020.15658,922.76129
1/30/2005,905.94101,999.19297
1/31/2005,778.40253,1075.03043
2/1/2005,594.20478,1069.03207
2/2/2005,608.0652,980.91176
2/3/2005,667.16861,972.37618
2/4/2005,773.02137,1040.60569
2/5/2005,897.74151,1130.45986
2/6/2005,992.87186,1016.29779
2/7/2005,1102.60383,915.49854
2/8/2005,1150.60335,769.6258
2/9/2005,1062.31711,833.9158
2/10/2005,984.50762,902.56877
2/11/2005,1079.01437,983.34447
2/12/2005,1168.77478,1059.59644
2/13/2005,1207.50872,947.87516
2/14/2005,1363.3825,923.05413
2/15/2005,1387.69358,805.63322
2/16/2005,1434.51914,804.63483
2/17/2005,1545.8203,837.77939
2/18/2005,1612.67693,916.3536
2/19/2005,1862.64808,1099.63561
2/20/2005,2111.75901,1173.36331
2/21/2005,2281.12414,1198.97627
2/22/2005,2288.79483,1143.00181
2/23/2005,2095.90094,1117.59275
2/24/2005,2221.63119,1265.74514
2/25/2005,2074.96746,1280.23758
2/26/2005,1983.30313,1329.04781
